ID,Precio_Real,Precio_Predicho,Error_Absoluto,Error_Relativo_%
1,30760.0,27936.10206146154,2823.897938538459,9.180422426978085
2,17859.167,18144.079721313177,284.912721313176,1.5953304054616657
3,9549.0,8069.0253086982275,1479.9746913017725,15.49874009112758
4,11850.0,15803.95786795719,3953.9578679571896,33.36673306292987
5,28248.0,22914.235092689378,5333.764907310622,18.88192051582633
6,7799.0,6784.325106508042,1014.6748934919578,13.010320470470033
7,7788.0,7491.492201924675,296.5077980753249,3.8072393178649833
8,9258.0,7554.139138668548,1703.8608613314518,18.40420027361689
9,10198.0,8290.472216150129,1907.5277838498714,18.70492041429566
10,7775.0,9470.965832649481,1695.965832649481,21.813065371697505
11,13295.0,15199.63702310398,1904.63702310398,14.325964822143513
12,8238.0,5884.248852551551,2353.751147448449,28.571876031178068
13,18280.0,17217.702569659406,1062.2974303405936,5.8112550893905555
14,9988.0,8854.890411483833,1133.1095885161667,11.344709536605594
15,40960.0,42398.208841015745,1438.2088410157448,3.511252053261096
16,6488.0,6607.14309323366,119.14309323365978,1.8363608698159646
17,5151.0,8017.763108080071,2866.763108080071,55.65449637119144
18,12629.0,14980.328461631341,2351.3284616313413,18.618484928587705
19,8189.0,8089.2945989862155,99.70540101378447,1.2175528271313283
20,9960.0,7760.697989694149,2199.3020103058507,22.0813454849985
21,8495.0,8644.639206703374,149.63920670337393,1.7614974302928066
22,13499.0,19788.460941100584,6289.460941100584,46.59205082673223
23,8249.0,6160.511418649798,2088.4885813502024,25.318081965695267
24,6479.0,5633.403162602239,845.5968373977612,13.051348007373994
25,6692.0,7473.695074771496,781.6950747714964,11.681038176501739
26,41315.0,28463.62571241997,12851.37428758003,31.105831508120612
27,9639.0,15973.823443717567,6334.823443717567,65.72075364371373
28,13415.0,14238.990461227284,823.990461227284,6.142306829871666
29,7999.0,8691.735954902735,692.7359549027351,8.66028197153063
30,12940.0,15834.419923043719,2894.419923043719,22.368005587663976
31,25552.0,24416.305946974346,1135.6940530256543,4.444638591991446
32,6229.0,6838.799147068868,609.7991470688676,9.789679676815982
33,7898.0,11439.941950114331,3541.941950114331,44.84606166262764
34,21485.0,21996.607667946053,511.60766794605297,2.381231873148955
35,7689.0,7814.442777941307,125.44277794130721,1.6314576400222034
36,28176.0,26781.22561812763,1394.7743818723684,4.950221400739525
37,11259.0,9903.14249977177,1355.8575002282305,12.042432722517368
38,10945.0,13960.350197352143,3015.3501973521434,27.550024644606154
39,8916.5,6699.886074548817,2216.6139254511827,24.859686260877954
40,14489.0,14750.944843723235,261.94484372323495,1.8078876645954514
41,7463.0,7541.1245383529595,78.12453835295946,1.0468248472860708
